"month_by_year","overall_number_of_visitors","top_20_country_list","total_number_of_top_20_overnight_visitors"
"2024-05-01","1442943","India","226082"
"2024-05-01","1442943","Saudi Arabia","80008"
"2024-05-01","1442943","United Kingdom","106759"
"2024-05-01","1442943","Oman","87318"
"2024-05-01","1442943","China","69850"
"2024-05-01","1442943","United States of America","49994"
"2024-05-01","1442943","Pakistan","27809"
"2024-05-01","1442943","Russian Federation","91892"
"2024-05-01","1442943","Germany","44298"
"2024-05-01","1442943","Iran (Islamic Republic of)","31471"
"2024-05-01","1442943","Philippines","22650"
"2024-05-01","1442943","Kuwait","17403"
"2024-05-01","1442943","France","33803"
"2024-05-01","1442943","Egypt","30874"
"2024-05-01","1442943","Australia","21038"
"2024-05-01","1442943","Italy","14778"
"2024-05-01","1442943","Canada","17139"
"2024-05-01","1442943","Jordan","12774"
"2024-05-01","1442943","Nigeria","2426"
"2024-05-01","1442943","Netherlands","16637"
"2024-06-01","1190559","India","162300"
"2024-06-01","1190559","Saudi Arabia","105626"
"2024-06-01","1190559","United Kingdom","71827"
"2024-06-01","1190559","Oman","78525"
"2024-06-01","1190559","China","61597"
"2024-06-01","1190559","United States of America","56592"
"2024-06-01","1190559","Pakistan","32012"
"2024-06-01","1190559","Russian Federation","59377"
"2024-06-01","1190559","Germany","18406"
"2024-06-01","1190559","Iran (Islamic Republic of)","30402"
"2024-06-01","1190559","Philippines","28159"
"2024-06-01","1190559","Kuwait","25786"
"2024-06-01","1190559","France","15402"
"2024-06-01","1190559","Egypt","22723"
"2024-06-01","1190559","Australia","25118"
"2024-06-01","1190559","Italy","10146"
"2024-06-01","1190559","Canada","15418"
"2024-06-01","1190559","Jordan","10456"
"2024-06-01","1190559","Nigeria","2193"
"2024-06-01","1190559","Netherlands","8311"
